"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-01","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","91.8","","","","1"
"2009-02","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","93.6","","","","1"
"2009-03","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","95.7","","","","1"
"2009-04","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","95.1","","","","1"
"2009-05","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","93.9","","","","1"
"2009-06","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","91.3","","","","1"
"2009-07","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","91.3","","","","1"
"2009-08","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","92.1","","","","1"
"2009-09","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","94.9","","","","1"
"2009-10","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","95.0","","","","1"
"2009-11","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","95.1","","","","1"
"2009-12","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","90.6","","","","1"
"2010-01","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","90.1","","","","1"
"2010-02","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","91.2","","","","1"
"2010-03","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","93.6","","","","1"
"2010-04","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","94.1","","","","1"
"2010-05","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","92.7","","","","1"
"2010-06","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","89.7","","","","1"
"2010-07","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","88.8","","","","1"
"2010-08","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","90.1","","","","1"
"2010-09","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","92.8","","","","1"
"2010-10","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","94.9","","","","1"
"2010-11","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","92.1","","","","1"
"2010-12","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","88.8","","","","1"
"2011-01","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","87.9","","","","1"
"2011-02","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","89.4","","","","1"
"2011-03","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","94.4","","","","1"
"2011-04","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","93.1","","","","1"
"2011-05","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","93.7","","","","1"
"2011-06","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","90.4","","","","1"
"2011-07","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","89.7","","","","1"
"2011-08","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","90.6","","","","1"
"2011-09","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","95.0","","","","1"
"2011-10","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","96.1","","","","1"
"2011-11","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","93.1","","","","1"
"2011-12","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41691108","2.139","89.1","","","","1"
