"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","884782","","","","0"
"2010","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","928091","","","","0"
"2011","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","962098","","","","0"
"2012","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1001252","","","","0"
"2013","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1046794","","","","0"
"2014","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1081655","","","","0"
"2015","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1129880","","","","0"
"2016","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1132758","","","","0"
"2017","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1189367","","","","0"
"2018","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1225897","","","","0"
"2019","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","1272838","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","12733","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","13424","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","14342","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","15311","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","16051","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","16568","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","16985","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","16701","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","16863","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","17065","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","17293","","","","0"
"2009","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3197","","","","0"
"2010","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3405","","","","0"
"2011","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3494","","","","0"
"2012","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3642","","","","0"
"2013","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3698","","","","0"
"2014","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3832","","","","0"
"2015","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3951","","","","0"
"2016","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","4126","","","","0"
