Date,visits_by_day,street_address,city,region,postal_code,iso_country_code,brands
2018-12-31,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-01,121,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-05,242,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-07,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-12,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-13,120,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-14,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-15,145,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-16,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-18,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-19,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-20,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-21,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-22,148,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-23,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-24,148,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-25,148,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-26,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-27,148,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-28,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-29,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-30,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-01-31,134,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-01,134,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-03,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-05,134,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-07,134,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-12,149,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-13,149,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-14,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-15,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-16,149,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-17,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-18,149,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-19,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-20,299,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-21,149,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-22,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-23,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-24,149,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-25,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-26,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-27,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-02-28,132,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-01,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-02,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-03,132,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-04,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-05,269,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-06,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-07,134,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-08,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-09,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-10,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-11,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-12,133,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-13,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-14,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-15,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
2019-03-16,0,1675 Robson Street,Vancouver,BC,V6G 1C8,CA,Whole Foods Market
