"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-01","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14062.0","","","","1"
"2009-02","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14055.2","","","","1"
"2009-03","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14025.9","","","","1"
"2009-04","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14104.1","","","","1"
"2009-05","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14229.8","","","","1"
"2009-06","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14311.7","","","","1"
"2009-07","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14111.6","","","","1"
"2009-08","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14129.2","","","","1"
"2009-09","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14357.8","","","","1"
"2009-10","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14356.4","","","","1"
"2009-11","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14359.7","","","","1"
"2009-12","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14273.2","","","","1"
"2010-01","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14117.8","","","","1"
"2010-02","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14167.6","","","","1"
"2010-03","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14162.6","","","","1"
"2010-04","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14324.6","","","","1"
"2010-05","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14501.0","","","","1"
"2010-06","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14624.3","","","","1"
"2010-07","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14396.5","","","","1"
"2010-08","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14447.2","","","","1"
"2010-09","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14657.4","","","","1"
"2010-10","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14656.7","","","","1"
"2010-11","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14621.0","","","","1"
"2010-12","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14547.4","","","","1"
"2011-01","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14432.0","","","","1"
"2011-02","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14441.5","","","","1"
"2011-03","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14457.1","","","","1"
"2011-04","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14596.3","","","","1"
"2011-05","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14750.2","","","","1"
"2011-06","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14841.5","","","","1"
"2011-07","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14607.9","","","","1"
"2011-08","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14660.8","","","","1"
"2011-09","Canada","2016A000011124","Employment","Both sexes","25 years and over","Persons","249","thousands","3","v2091074","1.3.1.3","14882.1","","","","1"
