sales,date,British Columbia,Ontario,Quebec
Clothing stores ,2009-01,834430,2257285,1423035
Clothing stores ,2009-02,730280,1962815,1178540
Clothing stores ,2009-03,865665,2465530,1563855
Clothing stores ,2009-04,938035,2685565,1804905
Clothing stores ,2009-05,996455,3040720,1988990
Clothing stores ,2009-06,985040,2923465,1819960
Clothing stores ,2009-07,951460,2722920,1732285
Clothing stores ,2009-08,1011315,2866100,1764030
Clothing stores ,2009-09,1032330,3013880,1894815
Clothing stores ,2009-10,1040975,3164655,2046890
Clothing stores ,2009-11,1091225,3219315,1808600
Clothing stores ,2009-12,1666705,4910155,2520950
Clothing stores ,2010-01,849825,2253135,1467360
Clothing stores ,2010-02,834835,2045530,1245435
Clothing stores ,2010-03,975740,2817100,1745355
Clothing stores ,2010-04,997395,2882055,1844545
Clothing stores ,2010-05,1055920,3158670,2055840
Clothing stores ,2010-06,1102005,3120785,1819065
Clothing stores ,2010-07,1061750,2949380,1840025
Clothing stores ,2010-08,999880,3107130,1811660
Clothing stores ,2010-09,1152070,3399730,1897615
Clothing stores ,2010-10,1133985,3366095,2011960
Clothing stores ,2010-11,1239040,3747000,1898415
Clothing stores ,2010-12,1733105,5577875,2653975
Clothing stores ,2011-01,844335,2336705,1382725
Clothing stores ,2011-02,847110,2193455,1227835
Clothing stores ,2011-03,972740,2757165,1554150
Clothing stores ,2011-04,1077265,3123315,1855430
Clothing stores ,2011-05,1076520,3307190,1986800
Clothing stores ,2011-06,1135180,3381965,1887540
Clothing stores ,2011-07,1098190,3079650,1786735
Clothing stores ,2011-08,1139455,3177480,1765315
Clothing stores ,2011-09,1210065,3457745,1883550
Clothing stores ,2011-10,1223935,3379850,1944785
Clothing stores ,2011-11,1347015,3857945,1983420
Clothing stores ,2011-12,1904890,5795650,2782135
Clothing stores ,2012-01,918455,2395460,1377705
Clothing stores ,2012-02,890865,2369240,1295425
Clothing stores ,2012-03,1074085,3016560,1730585
Clothing stores ,2012-04,1085070,2929290,1839385
Clothing stores ,2012-05,1206060,3464065,2109115
Clothing stores ,2012-06,1210920,3493210,1994905
