date,prov,max_temp,mean_temp,min_temp,spd_max_gust,total_precip,total_rain,total_snow
2009-01,BC,18.5,-0.869285714,-40,183,21222.2,12467.8,4381.7
2009-02,BC,26,0.268168534,-35.1,156,9302.7,5398,2029.2
2009-03,BC,16.6,1.638546107,-36.5,167,16579.4,10046.5,2412.7
2009-04,BC,31.5,6.792207197,-21.5,163,9128.5,6349.9,573.5
2009-05,BC,34.5,10.86453553,-9.5,132,11015.7,8091.8,117.8
2009-06,BC,37.1,15.19124268,-5,111,6304,4636.2,0.1
2009-07,BC,41.2,18.16206823,-5,104,5410.6,3734,0
2009-08,BC,39.5,17.03765925,-4,119,7012,4915.2,0
2009-09,BC,36,14.12998942,-8.7,124,15685.1,11403.4,8.2
2009-10,BC,22,7.508258451,-20.5,146,24681.5,17166,706
2009-11,BC,20,4.180008418,-40,150,44993.7,31466.4,2190.1
2009-12,BC,13.5,-2.357293646,-43.8,135,12683.5,7163.6,2176.6
2010-01,BC,22,2.558901864,-39,156,29512.7,19408.8,1473.9
2010-02,BC,16.6,4.061409615,-22.7,158,15982.9,11426.1,588.3
2010-03,BC,19.1,5.303885273,-20,176,20460.7,14122.2,1303.7
2010-04,BC,28.5,7.417389465,-18.5,139,15859.2,11191.9,525
2010-05,BC,29.2,10.24078303,-10.5,113,12288.6,8724.4,161.6
2010-06,BC,30.7,13.43384552,-4,113,10306.5,7629.2,4.5
2010-07,BC,38.8,16.79357493,-3.5,91,2422.1,1559.7,0
2010-08,BC,37.5,16.51700971,-4.2,102,8245.2,5523.2,0
2010-09,BC,32.4,12.91151832,-8.3,139,23038.1,15983,30.7
2010-10,BC,30,9.339311889,-14,213,24764.6,18775.1,92.4
2010-11,BC,21,1.853128226,-34,152,24183,15020.5,2536.2
2010-12,BC,14.5,0.379507705,-36.3,141,31161.6,20485.1,2398.2
2011-01,BC,22,-0.201351083,-40.7,139,30754.1,18624.9,4510.6
2011-02,BC,15.5,-1.333226496,-39,139,20944.8,11810.2,4378.4
2011-03,BC,20.3,3.318153727,-38.2,167,25553.8,16805.4,2251.5
2011-04,BC,24.1,5.289330075,-18.2,128,14289.8,9142.4,1193.7
2011-05,BC,28.9,10.05542476,-10,102,15798.5,10724.4,114.6
2011-06,BC,36,13.62267465,-3,91,8852.7,6040.1,7.6
2011-07,BC,35.5,15.32140768,-4,115,12261.6,8237.5,0
2011-08,BC,37.5,16.41221711,-4.5,95,6940,5064.5,0
2011-09,BC,36.3,14.34060894,-12.2,126,20662.8,15448.1,4.2
2011-10,BC,29,8.103871341,-14,132,20320.5,15092,88
2011-11,BC,18,2.124817662,-47,169,31358.7,19725.7,3096.6
2011-12,BC,16,0.869348442,-26.8,145,20789.8,13619.9,2207.3
2012-01,BC,28.5,-0.843377545,-43.7,167,36011,22618.6,4977.4
2012-02,BC,17.3,1.410602995,-31.8,137,18128.3,11054.8,2444.8
2012-03,BC,22.5,2.885348189,-26.6,156,27559.1,17131.7,3412.1
2012-04,BC,30,7.472064467,-18,156,16624.6,11487.9,352.5
2012-05,BC,33,10.404504,-10.5,113,10416.7,7267.7,37
2012-06,BC,31.3,12.85937912,-18,109,20759.5,13997.3,4.5
2012-07,BC,45.5,16.9295082,-1.7,89,8676.7,5422.6,0
2012-08,BC,40.3,17.32508062,-4,89,4216.9,2814.7,0
2012-09,BC,35,13.92766806,-7.5,113,5308,3509.9,17.3
2012-10,BC,27.1,7.664277899,-28.7,124,30357.8,20051.1,631.2
2012-11,BC,19.5,3.682743114,-31.9,146,30536.1,19694.7,1860.8
