Index,lat_long,date,cool_deg_days,dir_max_gust,heat_deg_days,max_temp,mean_temp,min_temp,snow_grnd,spd_max_gust,total_precip,total_rain,total_snow,postal_code
0,1,2018-12-31,0,13.33333333,21.3,1.38,-3.3,-8.84,2.333333333,37.33333333,4.74,3.4,4.7,H1N 2Z7
1,1,2019-01-01,0,31.25,22.925,2.08,-4.925,-11.08,2.333333333,47.75,14.08,8.4,0.1,H1N 2Z7
2,1,2019-01-02,0,,30.275,-9.84,-12.275,-15.78,2.666666667,,0.54,0,1,H1N 2Z7
3,1,2019-01-03,0,2,26.15,-1.66,-8.15,-14.38,6.75,31.5,2.42,0,3.05,H1N 2Z7
4,1,2019-01-04,0,23.33333333,17.85,2.68,0.15,-3.54,9.5,44.66666667,2.08,0,1.5,H1N 2Z7
5,1,2019-01-05,0,,16.75,2.24,1.25,-0.04,5,,0,0,0,H1N 2Z7
6,1,2019-01-06,0,33.25,23.525,1.18,-5.525,-11.74,4.666666667,47,0.38,0,0.2,H1N 2Z7
7,1,2019-01-07,0,8.5,30.675,-7.76,-12.675,-16.36,9.75,37,3.94,0,5.9,H1N 2Z7
8,1,2019-01-08,0,15.75,22.05,1.3,-4.05,-10.28,13,56,5.58,0.65,3.85,H1N 2Z7
9,1,2019-01-09,0,21.66666667,18.975,1.1,-0.975,-3.02,12.33333333,40,0.92,0,0.85,H1N 2Z7
10,1,2019-01-10,0,29.25,25.85,-2.76,-7.85,-12.08,17,47.5,0.64,0,0.6,H1N 2Z7
11,1,2019-01-11,0,25,33.7,-12.64,-15.7,-18.36,13.66666667,43,0.16,0,0,H1N 2Z7
12,1,2019-01-12,0,26,34.225,-13.34,-16.225,-19.06,13.75,34.33333333,0,0,0,H1N 2Z7
13,1,2019-01-13,0,,33,-10.54,-15,-19.92,12.33333333,,0.34,0,0,H1N 2Z7
14,1,2019-01-14,0,,30.775,-7.66,-12.775,-18.28,12,,0.12,0,0,H1N 2Z7
15,1,2019-01-15,0,14,22.725,-1.4,-4.725,-8.28,12.33333333,31,0.275,0,0.6,H1N 2Z7
16,1,2019-01-16,0,25.5,26.075,1.44,-8.075,-16.2,14.25,56,0.38,0,0.3,H1N 2Z7
17,1,2019-01-17,0,,35.175,-13.56,-17.175,-21.6,12.66666667,,0.375,0,0,H1N 2Z7
18,1,2019-01-18,0,26,30.25,-8.68,-12.25,-16.72,12.66666667,39,1.04,0,1.8,H1N 2Z7
